,x,y,type
404,-46.323895,13.657651,disadvantaged user
405,-62.80865,21.855923,disadvantaged user
406,30.994417,-32.26731,disadvantaged user
407,112.826065,22.462145,disadvantaged user
408,107.99757,1.7983171,disadvantaged user
409,49.004814,6.265483,disadvantaged user
410,-39.925392,8.772092,disadvantaged user
411,-14.838424,96.48697,disadvantaged user
412,-30.950527,41.47876,disadvantaged user
413,-37.873665,10.146935,disadvantaged user
414,77.37834,10.235817,disadvantaged user
415,37.796482,6.8612084,disadvantaged user
416,-2.4382875,-20.02146,disadvantaged user
417,113.14609,21.441574,disadvantaged user
418,92.654076,4.6109314,disadvantaged user
419,61.721115,11.976847,disadvantaged user
420,-56.836708,13.783194,disadvantaged user
421,-14.701694,89.93577,disadvantaged user
422,-22.917698,-39.809017,disadvantaged user
423,-10.920627,-40.64489,disadvantaged user
424,-28.435198,-15.1832485,disadvantaged user
425,2.6206775,26.613878,disadvantaged user
426,110.39588,11.145551,disadvantaged user
427,107.194016,10.414038,disadvantaged user
428,27.890444,0.8204321,disadvantaged user
429,112.87723,28.079432,disadvantaged user
430,-30.604027,-95.22289,disadvantaged user
431,-59.85809,40.911266,disadvantaged user
432,-7.8893332,-64.03185,disadvantaged user
433,-12.669474,-62.323677,disadvantaged user
434,26.991953,-13.828189,disadvantaged user
435,9.901119,-45.684147,disadvantaged user
436,-5.2223835,18.158325,disadvantaged user
437,3.9399045,-42.928406,disadvantaged user
438,-13.786967,-60.962646,disadvantaged user
439,-18.18397,91.14616,disadvantaged user
440,-28.490746,14.585924,disadvantaged user
441,112.76226,20.957006,disadvantaged user
442,22.425913,-58.294624,disadvantaged user
443,24.182547,-18.894238,disadvantaged user
444,27.4876,22.096062,disadvantaged user
445,11.233683,-51.229103,disadvantaged user
446,-15.131615,-10.422626,disadvantaged user
447,113.89451,25.34387,disadvantaged user
448,-47.33712,4.8271723,disadvantaged user
449,113.91814,18.150717,disadvantaged user
450,-40.36451,25.6091,disadvantaged user
451,113.33107,23.208565,disadvantaged user
452,94.11647,-3.3905983,disadvantaged user
453,-49.633343,19.550362,disadvantaged user
454,28.87573,-12.761011,disadvantaged user
455,-13.23372,-98.10202,disadvantaged user
456,-16.307596,41.77367,disadvantaged user
457,-47.14539,5.5688705,disadvantaged user
458,9.836115,-21.258835,disadvantaged user
459,-25.20949,23.742289,disadvantaged user
460,28.245598,-63.225254,disadvantaged user
461,111.99884,20.98803,disadvantaged user
462,77.42449,3.9579356,disadvantaged user
463,112.65541,18.230322,disadvantaged user
464,-19.517878,-5.8920536,disadvantaged user
465,-6.7947807,52.722073,disadvantaged user
466,-3.647071,-7.280766,disadvantaged user
467,88.646545,-5.252747,disadvantaged user
468,-22.823332,-45.750443,disadvantaged user
469,110.12385,20.904446,disadvantaged user
470,-6.169446,8.937308,disadvantaged user
471,-9.048559,-100.2888,disadvantaged user
472,-43.024094,28.168072,disadvantaged user
473,-46.904316,2.4755154,disadvantaged user
474,3.630975,-56.109947,disadvantaged user
475,48.768635,-12.025334,disadvantaged user
476,-17.79857,-42.400146,disadvantaged user
477,3.0650518,-35.93032,disadvantaged user
478,-30.253,49.487667,disadvantaged user
479,36.01176,-29.057325,disadvantaged user
480,39.159187,-7.8556514,disadvantaged user
481,-17.008514,97.144745,disadvantaged user
482,109.5268,17.791521,disadvantaged user
483,8.161465,74.13519,disadvantaged user
484,-4.6237545,-13.720642,disadvantaged user
485,114.45102,23.252737,disadvantaged user
486,-9.467004,0.68455166,disadvantaged user
487,-46.62115,-55.658073,disadvantaged user
488,112.45398,20.783716,disadvantaged user
489,3.1530316,-6.455328,disadvantaged user
490,29.176523,-5.300525,disadvantaged user
491,112.31003,18.190348,disadvantaged user
492,-59.78178,40.93078,disadvantaged user
493,-30.609858,-96.13011,disadvantaged user
494,-46.790997,7.543919,disadvantaged user
495,113.61375,17.612385,disadvantaged user
496,-43.764877,-5.51987,disadvantaged user
497,-55.843506,-24.576735,disadvantaged user
498,32.684414,-34.020138,disadvantaged user
499,107.296616,6.305147,disadvantaged user
500,17.002045,19.527172,disadvantaged user
501,-9.197428,2.1128457,disadvantaged user
502,110.69833,30.645943,disadvantaged user
503,27.155676,-4.222241,disadvantaged user
504,-21.358501,49.907627,disadvantaged user
505,112.916954,21.800653,disadvantaged user
506,77.02246,-3.5896869,disadvantaged user
507,-39.53194,8.773956,disadvantaged user
508,63.440228,11.394022,disadvantaged user
509,-27.715464,61.305626,disadvantaged user
510,4.3245406,-5.9018016,disadvantaged user
511,65.12286,3.5050962,disadvantaged user
512,20.960762,0.9947235,disadvantaged user
513,111.86243,11.270305,disadvantaged user
514,-23.126198,0.86083597,disadvantaged user
515,109.784035,19.577116,disadvantaged user
516,80.38889,-3.7389913,disadvantaged user
517,-23.504992,64.798294,disadvantaged user
518,49.211872,-5.86554,disadvantaged user
519,-25.369026,84.494286,disadvantaged user
520,63.66616,8.7348385,disadvantaged user
521,-37.692863,-56.971706,disadvantaged user
522,-59.826286,40.843655,disadvantaged user
523,-0.9807447,46.03553,disadvantaged user
524,-20.919634,-23.53996,disadvantaged user
525,-51.92005,24.070293,disadvantaged user
526,74.43509,8.074944,disadvantaged user
527,18.134018,61.317085,disadvantaged user
528,10.236824,-5.524349,disadvantaged user
529,112.94999,21.27043,disadvantaged user
530,112.76226,20.957006,disadvantaged user
531,-30.950527,41.47876,disadvantaged user
532,-0.35379124,-13.342222,disadvantaged user
533,-4.6237545,-13.720642,disadvantaged user
534,-27.057741,-93.775635,disadvantaged user
535,27.56385,-57.084774,disadvantaged user
536,-23.08394,-89.87699,disadvantaged user
537,-0.3984725,72.335396,disadvantaged user
538,-54.151672,12.539857,disadvantaged user
539,54.938564,-2.872213,disadvantaged user
540,63.05731,7.5110474,disadvantaged user
541,-12.130294,88.770386,disadvantaged user
542,-48.30054,11.5688,disadvantaged user
543,-65.23968,-3.5097709,disadvantaged user
544,62.205658,6.777661,disadvantaged user
545,5.543605,-41.365562,disadvantaged user
546,-28.715052,62.477688,disadvantaged user
547,111.24811,25.354967,disadvantaged user
548,-25.587507,84.27764,disadvantaged user
549,-26.026825,53.823753,disadvantaged user
550,-39.167995,-41.355244,disadvantaged user
551,-13.683388,96.451706,disadvantaged user
552,6.419016,-37.03551,disadvantaged user
553,-29.535711,-95.10224,disadvantaged user
554,-7.511787,-57.880436,disadvantaged user
555,-14.5614805,87.33876,disadvantaged user
556,-2.4492085,-6.3576574,disadvantaged user
557,-40.503532,-10.069758,disadvantaged user
558,-40.503532,-10.069758,disadvantaged user
559,-38.91279,-45.27607,disadvantaged user
560,112.720604,24.78605,disadvantaged user
561,62.943493,2.2173984,disadvantaged user
562,7.9863667,3.89589,disadvantaged user
563,69.35341,-1.0929781,disadvantaged user
564,-32.329216,65.11033,disadvantaged user
565,6.935256,67.4639,disadvantaged user
566,0.7568592,21.049238,disadvantaged user
567,20.618734,-72.37631,disadvantaged user
568,-30.967001,5.2203116,disadvantaged user
569,91.71669,-5.362969,disadvantaged user
570,53.981506,9.119453,disadvantaged user
571,6.2465158,-50.166363,disadvantaged user
572,12.558587,15.062185,disadvantaged user
573,-13.786967,-60.962646,disadvantaged user
574,71.16758,8.73681,disadvantaged user
575,-59.78178,40.93078,disadvantaged user
576,7.3138785,-46.241867,disadvantaged user
577,109.8858,19.308025,disadvantaged user
578,-30.609858,-96.13011,disadvantaged user
579,-46.790997,7.543919,disadvantaged user
580,6.749871,-54.50423,disadvantaged user
581,113.16218,16.502274,disadvantaged user
582,-9.807421,32.68327,disadvantaged user
583,-2.4492085,-6.3576574,disadvantaged user
584,-4.9971128,64.673546,disadvantaged user
585,15.031045,-9.604431,disadvantaged user
586,-35.11619,-38.937683,disadvantaged user
587,112.8401,11.275765,disadvantaged user
588,96.63457,3.1358924,disadvantaged user
589,-26.869478,9.940586,disadvantaged user
590,7.882419,-4.445398,disadvantaged user
591,62.205658,6.777661,disadvantaged user
592,-11.671273,9.699316,disadvantaged user
593,-43.77204,0.20167881,disadvantaged user
594,-65.23968,-3.5097709,disadvantaged user
595,112.29268,14.688695,disadvantaged user
596,9.517718,1.4764625,disadvantaged user
597,15.488884,-35.831184,disadvantaged user
598,-62.80865,21.855923,disadvantaged user
599,111.79056,13.422676,disadvantaged user
600,-12.749455,-18.61764,disadvantaged user
