,x,y,type
241,91.14477,17.552233,disadvantaged user
242,-10.681248,-24.696024,disadvantaged user
243,22.290554,-14.831052,disadvantaged user
244,4.6092124,-59.599133,disadvantaged user
245,-0.8997884,-20.299253,disadvantaged user
246,93.76896,27.044146,disadvantaged user
247,87.96376,-6.6640987,disadvantaged user
248,-25.137362,-20.878958,disadvantaged user
249,10.822305,-37.18871,disadvantaged user
250,-3.7004628,-61.97237,disadvantaged user
251,0.6734016,-23.801893,disadvantaged user
252,44.608486,-21.961317,disadvantaged user
253,17.969385,30.514193,disadvantaged user
254,94.33649,21.928436,disadvantaged user
255,89.94538,31.477182,disadvantaged user
256,46.632988,-28.183811,disadvantaged user
257,55.67341,-14.815547,disadvantaged user
258,96.8111,23.10762,disadvantaged user
259,87.47368,35.396183,disadvantaged user
260,93.42526,31.165895,disadvantaged user
261,-44.524715,69.13166,disadvantaged user
262,11.556941,19.23515,disadvantaged user
263,6.0319657,-66.68166,disadvantaged user
264,-31.462051,62.334255,disadvantaged user
265,93.99424,31.545393,disadvantaged user
266,-16.713377,-18.40248,disadvantaged user
267,93.76896,27.044146,disadvantaged user
268,98.20689,27.055725,disadvantaged user
269,94.86441,30.109413,disadvantaged user
270,-8.260216,-11.445362,disadvantaged user
271,85.73607,36.725407,disadvantaged user
272,35.30997,-27.758474,disadvantaged user
273,92.63681,29.814175,disadvantaged user
274,99.62845,17.318554,disadvantaged user
275,-30.32167,48.00926,disadvantaged user
276,97.55143,9.18641,disadvantaged user
277,-31.208336,66.87432,disadvantaged user
278,-26.26084,72.57493,disadvantaged user
279,-35.868103,17.65872,disadvantaged user
280,-30.21163,-23.85913,disadvantaged user
281,7.151517,13.197926,disadvantaged user
282,95.68728,26.585535,disadvantaged user
283,42.133923,-13.32371,disadvantaged user
284,93.92162,29.82169,disadvantaged user
285,87.77219,36.030327,disadvantaged user
286,95.1769,21.96228,disadvantaged user
287,-47.17466,10.761002,disadvantaged user
288,16.749327,24.238667,disadvantaged user
289,-32.558777,-57.232502,disadvantaged user
290,93.62673,17.626566,disadvantaged user
291,38.99131,-32.201996,disadvantaged user
292,-2.0532632,23.46959,disadvantaged user
293,-30.483213,75.34058,disadvantaged user
294,100.39494,24.548916,disadvantaged user
295,-36.17518,-47.906193,disadvantaged user
296,99.945,21.209152,disadvantaged user
297,-6.9057083,-21.905924,disadvantaged user
298,-30.273197,25.08223,disadvantaged user
299,-12.159573,57.657295,disadvantaged user
300,92.97628,25.883415,disadvantaged user
301,-31.37929,92.522385,disadvantaged user
302,11.162476,-31.754251,disadvantaged user
303,23.547758,30.755959,disadvantaged user
304,91.81679,24.252272,disadvantaged user
305,10.437588,17.332447,disadvantaged user
306,1.8110399,25.330305,disadvantaged user
307,41.694904,-31.684748,disadvantaged user
308,-16.065401,-19.656822,disadvantaged user
309,-18.649942,3.371196,disadvantaged user
310,14.673514,-1.4237231,disadvantaged user
311,95.14315,-0.3185421,disadvantaged user
312,92.40088,32.156708,disadvantaged user
313,-9.682309,52.543007,disadvantaged user
314,-9.339889,6.3348665,disadvantaged user
315,90.21878,29.058886,disadvantaged user
316,10.07104,40.433117,disadvantaged user
317,94.393166,27.585794,disadvantaged user
318,97.542336,12.99924,disadvantaged user
319,-0.41254643,-66.97438,disadvantaged user
320,-13.000121,48.882877,disadvantaged user
321,39.091522,-33.042114,disadvantaged user
322,-2.092634,-23.833511,disadvantaged user
323,3.4823835,23.060125,disadvantaged user
324,-45.30172,56.0077,disadvantaged user
325,86.76394,37.648205,disadvantaged user
